PersonId,Gender,DateOfBirth,SeekingCounselors,HighSchool,City,State,ZipCode,RaceEthnicity,ParentEduLevel
20001,male,2002-01-01,1,South Anchorage High School,ANCHORAGE,AK,99516,Black or African American,bachelor degree
20002,male,2002-01-02,0,West Valley High School,FAIRBANKS,AK,99709,Hispanic,associate degree
20003,male,2002-01-03,1,Cordova Jr/Sr High School,CORDOVA,AK,99574,white,high school
20004,male,2002-01-04,0,Craig High School,CRAIG,AK,99921,Pacific Islander,bachelor degree
20005,male,2002-01-05,1,Polaris K12 School,ANCHORAGE,AK,99507,white,bachelor degree
20006,female,2002-02-02,0,Hewitt-Trussville High School,TRUSSVILLE,AL,35173,white,high school
20007,female,2002-02-01,0,Fairhope High School,FAIRHOPE,AL,36532,Hispanic,master degree
20008,female,2002-01-31,1,New Century Technology Demo High School,HUNTSVILLE,AL,35806,white,associate degree
20009,female,2002-01-30,0,Brewbaker Technology Magnet High School,MONTGOMERY,AL,36116,white,associate degree
20010,female,2002-01-29,1,Bob Jones High School,MADISON,AL,35758,white,bachelor degree
20011,female,2002-01-28,1,Nikiski Middle/High School,NIKISKI,AK,99635,white,bachelor degree
20012,female,2002-02-03,0,Winfield High School,WINFIELD,AL,35594,white,associate degree
20013,female,2002-02-06,1,John F. Kennedy Memorial High School,ISELIN,NJ,8830,white,high school
20014,female,2002-02-05,0,Madison High School,MADISON,NJ,7940,white,bachelor degree
20015,female,2002-02-04,0,Technology High School,NEWARK,NJ,7102,white,high school
20016,female,2002-02-07,1,Rye High School,RYE,NY,10580,white,associate degree
20017,female,2002-02-09,0,Alfred Almond Jr Sr High School,ALMOND,NY,14804,Hispanic,bachelor degree
20018,female,2002-02-08,0,Romulus Central School,ROMULUS,NY,14541,white,bachelor degree
20019,female,2002-02-24,0,Laton High,LATON,CA,93242,white,associate degree
20020,female,2002-02-23,1,Woodbridge High School,IRVINE,CA,92604,white,bachelor degree
20021,female,2002-02-22,1,Amarillo High School,AMARILLO,TX,79109,white,master degree
20022,female,2002-02-21,1,Skidmore-Tynn High School,SKIDMORE,TX,78389,white,bachelor degree
20023,female,2002-02-20,1,Westchester Academy for International Studies,HOUSTON,TX,77079,white,bachelor degree
20024,female,2002-02-19,1,YES Prep Southeast,HOUSTON,TX,77034,Black or African American,bachelor degree
20025,female,2002-02-18,1,Eastwood Academy High School,HOUSTON,TX,77023,Black or African American,high school
20026,female,2002-02-17,0,The High School for the Performing and Visual Arts,HOUSTON,TX,77006,Hispanic,bachelor degree
20027,female,2002-02-16,1,Houston Academy,HOUSTON,TX,77004,white,bachelor degree
20028,female,2002-02-15,0,Early High School,EARLY,TX,76803,white,bachelor degree
20029,female,2002-02-14,1,Axtell High School,AXTELL,TX,76624,white,associate degree
20030,female,2002-02-13,0,Norman North High School,NORMAN,OK,73069,white,associate degree
20031,female,2002-02-12,0,Deer High School,DEER,AR,72628,white,bachelor degree
20032,female,2002-02-11,1,Hume-Fogg Academic High School,NASHVILLE,TN,37203,Black or African American,high school
20033,male,2002-02-10,0,Manheim Township High School,LANCASTER,PA,17601,white,associate degree
20034,female,2002-03-01,1,Chico High School,CHICO,CA,95926,Black or African American,bachelor degree
20035,male,2002-02-28,1,Cerritos High School ,CERRITOS,CA,90703,Black or African American,bachelor degree
20036,female,2002-02-27,0,Eastern High School,ADA,MI,49301,white,high school
20037,female,2002-02-26,1,Agoura High School,AGOURA,CA,91301,white,bachelor degree
20038,female,2002-02-25,0,Chico High School,CHICO,CA,95926,white,bachelor degree
20039,female,2002-04-22,0,Cerritos High School ,CERRITOS,CA,90703,Black or African American,associate degree
20040,female,2002-04-21,1,Eastern High School,ADA,MI,49301,white,high school
20041,female,2002-04-20,0,Agoura High School,AGOURA,CA,91301,white,associate degree
20042,female,2002-04-18,0,Los Alamitos High School,LOS ALAMITOS,CA,90720,Hispanic,bachelor degree
20043,female,2002-04-19,0,Los Alamos High School,LOS ALAMOS,NM,87544,white,master degree
20044,female,2002-03-19,1,Albany High School,ALBANY,CA,94706,white,bachelor degree
20045,female,2002-03-18,1,New Albany High School,NEW ALBANY,OH,43054,white,bachelor degree
20046,female,2002-03-17,1,Early College Academy,ALBUQUERQUE,NM,87110,white,high school
20047,female,2002-03-16,1,Aledo High School,ALEDO,TX,76008,white,bachelor degree
20048,female,2002-03-15,1,Thomas Jefferson High School for Science and Technology,ALEXANDRIA,VA,22312,Black or African American,bachelor degree
20049,female,2002-03-14,1,Mark Keppel High School,ALHAMBRA,CA,91801,Black or African American,associate degree
20050,female,2002-03-13,0,Alhambra High School,ALHAMBRA,CA,91801,Pacific Islander,bachelor degree
20051,female,2002-03-11,1,Altoona High,ALTOONA,WI,54720,white,bachelor degree
20052,female,2002-03-12,0,Los Altos High School,LOS ALTOS,CA,94022,white,high school
20053,female,2002-03-10,1,Alvin High School,ALVIN,TX,77511,white,bachelor degree
20054,male,2002-03-09,0,Ames High School,AMES,IA,50010,white,master degree
20055,female,2002-03-08,0,Williamsville East High School,EAST AMHERST,NY,14051,white,bachelor degree
20056,female,2002-03-07,1,Hector Godinez Fundamental High School,SANTA ANA,CA,92704,white,associate degree
20057,male,2002-03-06,0,Foothill High School,SANTA ANA,CA,92705,white,high school
20058,female,2002-03-05,1,Canyon High School,ANAHEIM,CA,92807,Hispanic,bachelor degree
20059,female,2002-03-04,1,Esperanza High School,ANAHEIM,CA,92807,unidentified,associate degree
20060,female,2002-03-03,0,Western High School,ANAHEIM,CA,92804,white,master degree
20061,female,2002-03-02,1,Katella High,ANAHEIM,CA,92806,white,bachelor degree
20062,female,2002-04-28,0,T. L. Hanna High,ANDERSON,SC,29621,white,master degree
20063,female,2002-04-26,0,Animo South Los Angeles Charter High School,LOS ANGELES,CA,90047,white,high school
20064,female,2002-04-27,1,Eagle Rock High School,LOS ANGELES,CA,90041,Black or African American,high school
20065,female,2002-04-25,0,Fairfax Senior High School,LOS ANGELES,CA,90046,Black or African American,high school
20066,female,2002-04-24,0,University Senior High,LOS ANGELES,CA,90025,white,associate degree
20067,female,2002-04-23,0,Wawasee High School,SYRACUSE,IN,46567,white,bachelor degree
20068,female,2002-05-08,1,Northfield Middle/​High School,NORTHFIELD,VT,5663,white,high school
20069,female,2002-05-07,1,East Lyme High School,EAST LYME,CT,6333,white,bachelor degree
20070,female,2002-05-06,1,County Line High School,BRANCH,AR,72928,Black or African American,bachelor degree
20071,female,2002-05-05,1,Navarro High School,SEGUIN,TX,78155,white,high school
20072,female,2002-05-04,1,Delaware Valley High School,MILFORD,PA,18337,white,high school
20073,female,2002-05-03,1,Argyle High School,ARGYLE,TX,76226,white,high school
20074,male,2002-05-02,0,The Preuss School ,LA JOLLA,CA,92093,Black or African American,associate degree
20075,female,2002-05-01,1,Clear Horizons Early College High School,HOUSTON,TX,77089,white,high school
20076,female,2002-04-30,0,Bangor High School,Bangor,PA,4401,Black or African American,bachelor degree
20077,female,2002-04-29,1,Bret Harte Union High School,Angels Camp,CA,95221,white,bachelor degree
20078,female,2002-05-10,0,Ankeny High School,ANKENY,IA,50023,white,master degree
20079,female,2002-05-09,0,Pioneer High School,ANN ARBOR,MI,48103,white,associate degree
20080,female,2002-05-30,1,North Hunterdon High School,ANNANDALE,NJ,8801,white,high school
20081,female,2002-05-29,0,Broadneck High School,ANNAPOLIS,MD,21409,white,high school
20082,female,2002-05-28,1,Health Careers High School,SAN ANTONIO,TX,78229,white,associate degree
20083,female,2002-05-27,1,Alamo Heights High School,SAN ANTONIO,TX,78209,white,high school
20084,female,2002-05-26,0,Ronald Reagan High School,SAN ANTONIO,TX,78258,white,bachelor degree
20085,female,2002-05-25,1,Jay High School,SAN ANTONIO,TX,78227,white,bachelor degree
20086,female,2002-05-24,0,Marshall High School,SAN ANTONIO,TX,78240,Hispanic,bachelor degree
20087,female,2002-05-23,0,Antwerp Local High School,ANTWERP,OH,45813,white,high school
20088,female,2002-05-22,1,North High,APPLETON,WI,54913,Black or African American,high school
20089,female,2002-05-21,0,Kipp:Delta Collegiate High Sch,HELENA,AR,72342,Hispanic,bachelor degree
20090,female,2002-05-20,0,Sheridan High School,SHERIDAN,AR,72150,white,associate degree
20091,female,2002-05-19,0,Benton High School,BENTON,AR,72015,Hispanic,master degree
20092,female,2002-05-18,1,Prairie Grove High School,GROVE,AR,72753,white,bachelor degree
20093,female,2002-05-17,1,Bismarck High School,BISMARCK,AR,71929,white,bachelor degree
20094,female,2002-05-16,1,Jasper High School,JASPER,AR,72641,white,associate degree
20095,female,2002-05-15,1,Clarksville High School,CLARKSVILLE,AR,72830,white,associate degree
20096,male,2002-05-14,1,Searcy High School,SEARCY,AR,72143,white,associate degree
20097,female,2002-05-13,1,High School for Dual Language and Asian Studies,NEW YORK,NY,10002,Hispanic,high school
20098,female,2002-05-12,0,Stuyvesant High School,NEW YORK,NY,10282,white,bachelor degree
20099,female,2002-05-11,1,New Explorations Into ScienceTechnology and Math High School,NEW YORK,NY,10002,white,bachelor degree
20100,female,2002-10-02,0,High School for Math Science and Engineering at CCNY,NEW YORK,NY,10031,Black or African American,high school
20101,female,2002-10-01,1,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,NEW YORK,NY,10023,white,bachelor degree
20102,female,2002-09-30,0,High School For Law & Public Service,NEW YORK,NY,10040,white,high school
20103,female,2002-09-29,0,Manhattan Center For Science & Mathematics,NEW YORK,NY,10029,white,high school
20104,female,2002-09-28,1,Frederick Douglass Academy,NEW YORK,NY,10039,Black or African American,high school
20105,female,2002-09-27,0,Millennium High School,NEW YORK,NY,10004,unidentified,high school
20106,female,2002-09-26,1,Urban Assembly Academy Of Government And Law,NEW YORK,NY,10002,white,bachelor degree
20107,male,2002-09-25,1,High School Of Economics & Finance,NEW YORK,NY,10006,white,high school
20108,female,2002-09-24,0,High School For International-​Business & Finance,NEW YORK,NY,10040,Hispanic,bachelor degree
20109,female,2002-09-22,1,High School For Law Advocacy And Community Justic,NEW YORK,NY,10023,white,bachelor degree
20110,female,2002-09-23,0,Irma Lerma Rangel Young Women's Leadership School,DALLAS,TX,75210,Black or African American,bachelor degree
20111,male,2002-09-20,0,Paxon School for Advanced Studies,JACKSONVILLE,FL,32254,white,master degree
20112,female,2002-09-21,1,Richmond Community High,RICHMOND,VA,23222,white,associate degree
20113,female,2002-09-19,0,Sir Francis Drake High School,SAN ANSELMO,CA,94960,white,high school
20114,female,2002-09-18,0,Elk Grove High School,ELK GROVE VILLAGE,IL,60007,Black or African American,associate degree
20115,male,2002-09-17,0,Claremont High,CLAREMONT,CA,91711,Hispanic,associate degree
20116,female,2002-09-16,1,Gabrielino High School,SAN GABRIEL,CA,91776,white,associate degree
20117,female,2002-09-14,1,Pasadena High School,PASADENA,CA,91107,white,bachelor degree
20118,female,2002-09-15,1,Artesia High School,LAKEWOOD,CA,90715,white,high school
20119,female,2002-09-12,1,Parkland High School,ALLENTOWN,PA,18104,white,high school
20120,female,2002-09-13,1,Macarthur High School,IRVING,TX,75062,white,high school
20121,female,2002-09-11,1,Boca Raton Community High School,Boca Raton,FL,33486,Hispanic,bachelor degree
20122,female,2002-09-10,0,Boise High School,BOISE,ID,83702,Black or African American,high school
20123,female,2002-09-09,1,Timberline High School,BOISE,ID,83706,white,high school
20124,female,2002-09-08,0,Anderson Valley Junior-​Senior High,BOONVILLE,CA,95415,white,associate degree
20125,male,2002-09-07,1,Boston Latin School,BOSTON,MA,2115,Asian,master degree
20126,female,2002-09-06,0,Bozeman High School,BOZEMAN,MT,59715,white,bachelor degree
20127,female,2002-09-05,0,Fort Bragg High School,Fort Bragg�,CA,95437,Black or African American,associate degree
20128,female,2002-09-04,1,Brainerd Senior High,BRAINERD,MN,56401,Black or African American,associate degree
20129,female,2002-09-03,0,Brandon Valley High School,BRANDON,SD,57005,Black or African American,bachelor degree
20130,female,2002-09-02,1,Brawley High,BRAWLEY,CA,92227,Hispanic,high school
20131,female,2002-09-01,1,Brea-​Olinda High School,BREA,CA,92821,white,bachelor degree
20132,female,2002-08-31,0,Brevard High,BREVARD,NC,28712,Black or African American,high school
20133,female,2002-08-30,1,The Bronx High School of Science,BRONX,NY,10468,white,high school
20134,female,2002-08-29,0,Marble Hill High School Of International Studies,BRONX,NY,10463,white,high school
20135,female,2002-08-28,0,South Bronx Preparatory -​ A College Board School,BRONX,NY,10454,white,high school
20136,female,2002-08-27,1,Renaissance High School For Musical Theater And Te,BRONX,NY,10461,white,bachelor degree
20137,female,2002-08-26,0,Blind Brook High School,Rye Brook,NY,10573,white,bachelor degree
